# Cycle: 1
# Start Time: 2026-01-21 14:15:23
# Sample Rate: 100 Hz
# Format: Timestamp(ms),Ax(m/s²),Ay,Az,Gx(°/s),Gy,Gz
Timestamp,Ax,Ay,Az,Gx,Gy,Gz
1128,-0.733,4.143,8.942,9.915,-4.986,-0.567
1138,-0.805,4.215,8.811,11.152,-4.207,-0.781
1148,-0.815,4.320,8.696,9.793,-4.024,-0.353
1158,-0.714,4.429,8.607,5.487,-2.482,-0.155
1168,-0.726,4.389,8.585,-0.268,-0.299,-0.002
1178,-0.791,4.341,8.640,-5.276,1.106,0.975
1188,-0.742,4.302,8.718,-8.848,2.572,1.906
1198,-0.740,4.253,8.792,-10.619,4.236,1.754
1208,-0.781,4.160,8.866,-9.520,4.373,0.731
1218,-0.775,4.138,8.956,-6.238,3.518,-0.536
1228,-0.800,4.076,8.981,-1.917,2.602,-1.681
1238,-0.858,4.051,8.956,2.694,0.862,-2.399
1248,-0.851,4.110,8.900,6.205,-1.276,-2.506
1258,-0.841,4.214,8.820,7.228,-2.604,-2.201
1268,-0.848,4.244,8.714,5.945,-3.138,-1.330
1278,-0.840,4.279,8.680,3.258,-3.001,0.212
1288,-0.803,4.308,8.690,-0.345,-1.764,2.028
1298,-0.788,4.299,8.726,-3.581,-0.070,3.509
1308,-0.773,4.267,8.763,-5.413,0.816,4.242
1318,-0.732,4.214,8.852,-5.612,1.198,3.647
1328,-0.725,4.172,8.866,-4.177,1.106,2.166
1338,-0.749,4.153,8.924,-1.337,0.343,0.456
1348,-0.733,4.174,8.938,1.701,-0.543,-1.162
1358,-0.751,4.210,8.875,3.762,-0.665,-2.445
1368,-0.764,4.233,8.808,4.281,-0.558,-3.193
1378,-0.792,4.273,8.726,3.213,-0.192,-3.132
1388,-0.807,4.299,8.719,0.739,0.770,-2.384
1398,-0.854,4.268,8.683,-2.024,1.763,-0.903
1408,-0.852,4.252,8.723,-4.345,2.144,0.731
1418,-0.852,4.240,8.765,-5.703,2.037,1.708
1428,-0.841,4.180,8.829,-5.658,1.335,2.135
1438,-0.824,4.143,8.860,-3.948,0.190,2.120
1448,-0.813,4.130,8.920,-1.215,-0.894,1.738
1458,-0.794,4.125,8.936,1.793,-1.673,1.174
1468,-0.784,4.171,8.895,4.266,-2.192,0.502
1478,-0.727,4.228,8.826,5.503,-2.421,-0.231
1488,-0.763,4.269,8.797,5.167,-2.008,-0.781
1498,-0.770,4.274,8.741,3.457,-1.321,-0.796
1508,-0.764,4.314,8.735,0.816,-0.451,-0.323
1518,-0.762,4.324,8.725,-2.177,0.770,0.028
1528,-0.773,4.288,8.741,-4.757,1.793,0.319
1538,-0.800,4.233,8.777,-6.253,2.419,0.380
1548,-0.803,4.190,8.841,-6.238,2.679,0.364
1558,-0.801,4.138,8.879,-4.696,2.480,0.151
1568,-0.806,4.122,8.890,-2.100,1.564,-0.216
1578,-0.806,4.150,8.895,0.648,0.404,-0.597
1588,-0.836,4.159,8.832,2.861,-0.863,-0.964
1598,-0.829,4.183,8.809,4.129,-1.749,-0.903
1608,-0.824,4.220,8.769,4.083,-2.207,-0.414
1618,-0.837,4.241,8.769,2.816,-2.039,0.410
1628,-0.818,4.273,8.768,0.785,-1.383,1.250
1638,-0.775,4.274,8.745,-1.322,-0.619,1.815
1648,-0.769,4.252,8.797,-2.879,0.251,1.967
1658,-0.770,4.233,8.838,-3.581,0.862,1.784
1668,-0.749,4.204,8.871,-3.230,0.953,1.265
1678,-0.755,4.198,8.881,-2.024,0.831,0.334
1688,-0.768,4.190,8.871,-0.513,0.556,-0.689
1698,-0.781,4.210,8.876,0.831,0.282,-1.437
1708,-0.793,4.211,8.839,1.533,0.068,-1.804
1718,-0.804,4.229,8.799,1.442,0.236,-1.758
1728,-0.830,4.241,8.773,0.785,0.419,-1.223
1738,-0.830,4.229,8.773,-0.452,0.541,-0.430
1748,-0.831,4.223,8.766,-1.703,0.572,0.364
1758,-0.827,4.217,8.787,-2.589,0.358,1.112
1768,-0.828,4.196,8.798,-2.681,0.114,1.555
1778,-0.817,4.174,8.833,-2.100,-0.176,1.723
1788,-0.789,4.185,8.875,-0.910,-0.543,1.479
1798,-0.774,4.183,8.888,0.541,-0.848,1.006
1808,-0.774,4.189,8.846,1.716,-1.001,0.334
1818,-0.772,4.225,8.820,2.388,-0.955,-0.185
1828,-0.772,4.231,8.800,2.281,-0.772,-0.536
1838,-0.784,4.255,8.781,1.426,-0.375,-0.597
1848,-0.788,4.280,8.735,0.068,0.159,-0.613
1858,-0.788,4.274,8.760,-1.581,0.770,-0.430
1868,-0.798,4.233,8.785,-2.955,1.167,-0.094
1878,-0.821,4.215,8.806,-3.642,1.488,0.135
1888,-0.818,4.166,8.823,-3.536,1.534,0.319
1898,-0.827,4.172,8.872,-2.635,1.228,0.242
1908,-0.828,4.166,8.869,-1.184,0.587,0.135
1918,-0.846,4.161,8.864,0.327,-0.054,-0.002
1928,-0.834,4.174,8.830,1.777,-0.818,-0.063
1938,-0.825,4.197,8.787,2.388,-1.291,0.028
1948,-0.816,4.220,8.774,2.205,-1.398,0.212
1958,-0.809,4.258,8.771,1.411,-1.230,0.502
1968,-0.781,4.255,8.784,0.190,-0.726,0.777
1978,-0.770,4.251,8.809,-1.062,-0.161,0.929
1988,-0.774,4.239,8.820,-2.009,0.343,0.945
1998,-0.774,4.229,8.851,-2.375,0.663,0.761
2008,-0.766,4.220,8.830,-2.238,0.877,0.349
2018,-0.789,4.192,8.797,-1.597,0.785,-0.109
2048,-0.799,4.207,8.828,0.541,0.312,-0.933
2058,-0.813,4.219,8.793,0.587,0.190,-0.781
2068,-0.809,4.210,8.808,0.236,0.083,-0.430
2078,-0.798,4.241,8.779,-0.268,0.053,0.090
2088,-0.807,4.229,8.788,-0.848,-0.070,0.624
2098,-0.804,4.219,8.794,-1.230,-0.146,0.960
2108,-0.816,4.189,8.796,-1.291,-0.299,1.097
2118,-0.782,4.196,8.812,-0.971,-0.314,1.082
2128,-0.767,4.201,8.814,-0.452,-0.451,0.853
2138,-0.764,4.198,8.835,0.129,-0.390,0.471
2148,-0.776,4.208,8.869,0.602,-0.329,0.074
2158,-0.778,4.226,8.822,0.770,-0.237,-0.185
2168,-0.779,4.228,8.784,0.632,0.007,-0.430
2178,-0.803,4.235,8.784,0.052,0.221,-0.536
2188,-0.799,4.256,8.784,-0.696,0.450,-0.430
2198,-0.818,4.227,8.784,-1.474,0.694,-0.307
2208,-0.809,4.227,8.810,-2.024,0.816,-0.002
2218,-0.811,4.219,8.814,-2.177,0.770,0.212
2228,-0.800,4.210,8.836,-1.841,0.648,0.349
2238,-0.811,4.191,8.850,-1.184,0.312,0.395
2248,-0.815,4.196,8.857,-0.284,-0.070,0.319
2257,-0.817,4.197,8.845,0.541,-0.482,0.273
2268,-0.810,4.192,8.821,1.121,-0.741,0.273
2278,-0.791,4.237,8.762,1.258,-0.833,0.273
2288,-0.782,4.246,8.760,0.953,-0.726,0.273
2298,-0.775,4.246,8.784,0.373,-0.466,0.410
2308,-0.769,4.241,8.786,-0.436,-0.161,0.456
2318,-0.782,4.257,8.784,-1.139,0.175,0.441
2328,-0.781,4.238,8.802,-1.581,0.495,0.349
2338,-0.766,4.215,8.830,-1.749,0.663,0.196
2348,-0.781,4.211,8.845,-1.566,0.663,-0.002
2358,-0.782,4.203,8.818,-1.169,0.602,-0.216
2368,-0.794,4.201,8.851,-0.589,0.465,-0.384
2378,-0.798,4.197,8.830,-0.100,0.297,-0.430
2388,-0.807,4.183,8.822,0.159,0.114,-0.323
2398,-0.804,4.211,8.806,0.190,-0.054,-0.124
2408,-0.793,4.223,8.805,0.006,-0.115,0.151
2418,-0.809,4.226,8.791,-0.268,-0.253,0.441
2428,-0.810,4.217,8.787,-0.543,-0.192,0.670
2438,-0.804,4.213,8.800,-0.757,-0.222,0.807
2448,-0.805,4.215,8.785,-0.848,-0.176,0.807
2458,-0.803,4.215,8.822,-0.665,-0.192,0.670
2468,-0.804,4.220,8.824,-0.406,-0.131,0.380
2478,-0.793,4.201,8.826,-0.131,-0.054,0.151
