# Cycle: 1
# Start Time: 2026-01-21 16:05:02
# Sample Rate: 100 Hz
# Format: Timestamp(ms),Ax(m/s²),Ay,Az,Gx(°/s),Gy,Gz
Timestamp,Ax,Ay,Az,Gx,Gy,Gz
21,-0.411,5.423,4.761,-90.437,27.686,17.540
50,-2.925,-2.058,8.307,-74.101,43.992,5.647
60,-3.957,-3.649,10.831,-35.017,35.839,-2.750
70,-5.256,-3.693,12.324,20.434,13.457,-8.017
80,-4.123,-1.493,10.510,73.930,-6.833,-12.460
90,-4.177,2.000,11.393,99.747,-15.352,-18.063
100,-4.115,4.736,10.686,103.564,-26.451,-20.246
110,-3.484,6.923,9.379,94.190,-36.314,-21.666
119,-2.546,8.462,9.055,71.885,-33.612,-21.330
130,-3.628,10.070,8.937,58.801,-40.757,-11.178
140,-2.649,11.022,7.743,25.869,-47.261,-3.895
150,-0.986,11.028,5.283,-11.902,-45.490,4.349
160,-0.141,9.766,5.073,-41.719,-22.833,11.204
170,-0.342,8.679,4.457,-55.734,-11.596,19.204
180,0.781,7.818,3.487,-67.979,8.679,21.815
190,0.530,6.719,3.917,-81.933,25.641,23.800
200,-0.277,4.658,4.424,-95.841,39.045,22.120
210,-1.200,2.021,5.906,-100.620,48.755,14.822
220,-2.489,-0.804,8.057,-91.139,49.595,4.578
230,-2.835,-3.076,8.377,-55.551,42.892,-0.842
240,-4.042,-3.507,11.012,-6.696,34.938,-9.040
250,-4.769,-1.706,12.061,43.243,13.121,-12.704
260,-3.982,0.523,10.670,76.282,-3.398,-14.750
270,-3.809,2.965,11.137,90.358,-12.085,-22.384
280,-3.336,5.295,9.497,93.793,-25.169,-25.498
290,-2.789,7.569,9.418,79.946,-24.268,-29.376
300,-3.175,8.965,9.197,63.595,-27.123,-21.895
310,-3.315,10.049,9.369,42.801,-30.772,-13.773
320,-1.949,10.679,6.871,16.633,-41.932,1.051
330,-1.171,10.445,6.607,-11.276,-32.207,10.487
340,-0.704,9.652,5.552,-35.200,-23.367,18.792
350,0.002,8.407,4.520,-55.597,-10.497,21.464
360,0.487,7.173,4.511,-69.246,9.961,21.601
370,-0.276,5.823,5.083,-80.177,22.969,23.051
380,-0.921,3.765,5.638,-90.040,32.221,20.364
390,-1.424,1.001,6.498,-93.765,38.557,12.456
400,-2.014,-2.243,7.479,-75.551,41.121,2.960
410,-3.224,-4.155,9.747,-33.184,42.831,-7.483
420,-4.989,-3.606,12.125,19.594,25.778,-18.399
430,-4.522,-1.380,11.202,71.992,3.732,-19.819
440,-4.414,2.064,10.979,101.854,-11.321,-22.766
450,-3.740,5.497,10.022,101.167,-23.001,-25.880
460,-3.487,7.664,9.725,78.938,-29.184,-28.949
470,-3.027,8.535,9.097,51.869,-29.932,-27.117
480,-3.607,8.999,9.506,38.617,-33.627,-17.498
490,-2.793,9.480,8.268,20.434,-41.825,-7.269
500,-2.479,10.136,8.036,3.778,-42.421,4.120
510,-1.273,10.001,6.446,-22.864,-39.337,15.342
520,-0.415,8.659,5.270,-47.230,-28.650,25.158
530,0.289,7.238,4.749,-68.162,-6.329,23.387
540,-0.257,5.908,5.711,-80.223,12.297,20.105
550,-1.010,4.401,6.168,-90.543,20.633,16.029
560,-1.056,2.176,6.375,-98.467,26.816,9.723
570,-1.322,-0.594,7.046,-95.734,34.816,1.174
579,-2.052,-3.011,8.177,-65.490,43.183,-4.674
590,-3.995,-3.768,10.733,-21.062,36.877,-12.277
600,-4.340,-2.404,11.550,28.877,20.633,-16.521
610,-4.319,-0.190,11.034,69.686,-0.879,-16.979
620,-3.165,2.702,10.505,86.159,-6.970,-21.071
630,-3.094,5.146,9.832,79.152,-15.947,-26.109
640,-2.896,6.462,9.904,60.572,-19.276,-29.895
650,-2.939,7.099,9.544,48.511,-28.619,-26.384
660,-2.430,7.798,9.114,39.946,-33.841,-23.346
670,-2.102,8.980,8.142,27.488,-36.436,-10.033
680,-1.645,9.117,7.741,6.617,-32.192,-1.346
690,-0.758,9.042,5.890,-11.169,-25.291,9.479
700,-0.118,7.790,5.986,-28.406,-3.154,15.479
710,-0.560,7.386,5.111,-32.604,8.526,19.280
720,-0.778,7.626,6.053,-46.391,23.259,16.624
730,-0.780,7.177,5.045,-63.062,30.129,19.448
740,-1.143,5.510,5.738,-84.040,39.244,16.822
750,-1.356,2.630,5.982,-86.574,46.954,15.662
760,-2.947,-0.206,8.832,-69.215,49.534,8.975
770,-2.834,-1.372,8.426,-29.093,41.671,5.174
780,-4.189,-1.225,11.209,1.686,31.121,-2.307
790,-5.088,-0.835,11.903,27.732,10.847,-6.567
800,-4.274,-0.242,11.012,54.022,-4.512,-10.689
810,-4.184,1.674,11.703,69.625,-14.176,-20.292
820,-4.127,3.984,10.688,78.556,-28.207,-21.972
830,-2.886,5.419,9.646,67.533,-35.825,-24.491
840,-3.082,6.241,9.835,60.495,-36.894,-23.376
850,-3.109,7.385,9.613,54.083,-42.268,-17.819
860,-2.105,8.255,7.667,46.678,-50.940,-3.010
870,-0.946,8.583,6.674,29.900,-41.184,2.532
880,-0.703,9.560,5.283,10.739,-31.932,10.288
890,0.301,9.195,4.366,-23.933,-8.955,15.067
900,0.422,7.755,4.450,-48.574,14.129,19.738
910,-0.379,6.518,5.004,-62.910,29.686,19.677
920,-0.817,5.133,5.060,-72.833,39.915,19.677
930,-1.246,3.072,5.838,-82.605,49.839,16.013
940,-2.105,0.066,7.204,-77.337,55.564,10.227
950,-3.244,-2.116,9.321,-51.673,55.152,2.242
960,-5.297,-2.711,12.388,-13.627,36.297,-7.743
970,-4.989,-1.166,11.723,31.900,9.778,-9.620
980,-4.764,1.137,11.590,55.839,-8.329,-12.475
990,-3.892,3.037,10.739,65.991,-19.947,-14.872
1000,-3.603,4.741,10.269,63.304,-30.833,-19.712
1010,-2.584,5.743,9.413,51.335,-30.619,-21.972
1020,-3.269,6.777,10.236,50.785,-32.696,-17.987
